title,authors,Last Date Read,My Rating,genre,series_type,my_tags,goodreads_shelves
The Last Wish,Andrzej Sapkowski,2018/05/21,5.0,Fantasy,Short Series,"Romance, Monster Hunting, Translated, Short Stories, *completed, Epic Fantasy, Dragons, Supernatural Horror","Adventure, Dragons, Epic, Epic Fantasy, Fairy Tales, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Monster Hunting, Short Stories, Supernatural, Supernatural Horror, Translated"
Sword of Destiny,Andrzej Sapkowski,2018/05/21,5.0,Fantasy,Short Series,"Romance, Monster Hunting, Translated, Short Stories, *completed, Epic Fantasy, Dragons, Supernatural Horror","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Monster Hunting, Short Stories, Supernatural, Supernatural Horror, Translated"
Artemis,Andy Weir,2018/03/14,4.0,Science Fiction,Standalone,"Hard Sci-Fi, Heist, *completed","Adventure, Crime, Fantasy, Fiction, Hard Sci-Fi, Heist, Humor, Mystery, Science, Thriller"
A Knight of the Seven Kingdoms,George R. R. Martin,2017/11/18,5.0,Fantasy,Long Series,"Dragons, *completed, Short Stories, Epic Fantasy","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Military & War, Short Stories, Young Adult"
A Dance With Dragons,George R. R. Martin,2017/10/24,5.0,Fantasy,Long Series,"Epic Fantasy, Dragons, *completed","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Medieval, Military & War, Young Adult"
A Feast for Crows,George R. R. Martin,2017/08/09,4.0,Fantasy,Long Series,"Epic Fantasy, Dragons, *completed","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Medieval, Military & War, Young Adult"
A Clash of Kings,George R. R. Martin,2017/01/04,5.0,Fantasy,Long Series,"Epic Fantasy, Dragons, *completed","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Medieval, Military & War, Young Adult"
Dynasty of Evil,Drew Karpyshyn,,4.0,Fantasy,Short Series,"Star Wars, *completed, Space Opera","Adventure, Fantasy, Fiction, Science, Space Opera, Star Wars"
The Hunger Games,Suzanne Collins,,4.0,Fantasy,Short Series,"Romance, Dystopian, *completed, Survival","Adventure, Dystopian, Fantasy, Fiction, Military & War, Post-Apocalyptic, Romance, Survival, Thriller, Young Adult"
Mockingjay,Suzanne Collins,,2.0,Fantasy,Short Series,"Romance, Dystopian, *completed, Survival","Adventure, Dystopian, Fantasy, Fiction, Military & War, Post-Apocalyptic, Romance, Survival, Thriller, Young Adult"
Harry Potter and the Goblet of Fire,J. K. Rowling,,5.0,Fantasy,Long Series,"Urban Fantasy, Dragons, *completed","Adventure, Dragons, Fantasy, Fiction, Mystery, Supernatural, Urban Fantasy, Young Adult"
Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,,5.0,Nonfiction,Standalone,"History, *completed, Nonfiction, Aerospace","Aerospace, History, Nonfiction, Philosophy, Reference, Science, Science Fiction"
Fahrenheit 451,Ray Bradbury,,4.0,Fantasy,Standalone,"Dystopian, Classics, *completed","Classics, Dystopian, Fantasy, Fiction, Literary, Politics, Young Adult"
The Pilgrims of Rayne,D. J. Machale,,5.0,Fantasy,Long Series,"Urban Fantasy, Time Travel, *completed","Adventure, Alternate History, Dystopian, Fantasy, Fiction, Middle Grade, Military & War, Mystery, Supernatural, Time Travel, Urban Fantasy, Young Adult"
Harry Potter and the Sorcerer's Stone,J. K. Rowling,,5.0,Fantasy,Long Series,"Urban Fantasy, Dragons, *completed","Adventure, Dragons, Fantasy, Fiction, Middle Grade, Mystery, Supernatural, Urban Fantasy, Young Adult"
The Atlantis Complex,Eoin Colfer,,4.0,Fantasy,Short Series,"Urban Fantasy, Humor, *completed","Adventure, Contemporary, Crime, Fae, Fantasy, Fiction, Humor, Ireland, Middle Grade, Mystery, Supernatural, Urban Fantasy, Young Adult"
Erak's Ransom,John Flanagan,,,Fantasy,Short Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Medieval, Middle Grade, Military & War, Mystery, Young Adult"
The Lost Colony,Eoin Colfer,,,Fantasy,Short Series,"Urban Fantasy, Humor, *completed, Time Travel","Adventure, Christianity, Contemporary, Crime, Fae, Fantasy, Fiction, Humor, Ireland, Middle Grade, Mystery, Supernatural, Time Travel, Urban Fantasy, Young Adult"
Halt's Peril,John Flanagan,,,Fantasy,Short Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Medieval, Middle Grade, Military & War, Mystery, Young Adult"
Returns,Mark Lawrence,,3.5,Fantasy,Short Series,"Romance, Humor, Short Stories, *completed, Indie, Epic Fantasy","Adventure, Dark Academia, Dystopian, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Humor, Mystery, Romance, Romantasy, Short Stories, Speculative Fiction"
World War Z: An Oral History of the Zombie War,Max Brooks,,,Fantasy,Standalone,"Urban Fantasy, Humor, *completed, Post-Apocalyptic, Survival, Supernatural Horror","Adventure, Alternate History, Contemporary, Dystopian, Epistolary, Fantasy, Fiction, Horror, Humor, Military & War, Post-Apocalyptic, Supernatural, Supernatural Horror, Survival, Thriller, Urban Fantasy, Zombies"
The Time Paradox,Eoin Colfer,,,Fantasy,Short Series,"Urban Fantasy, Humor, *completed, Time Travel","Adventure, Contemporary, Crime, Fae, Fantasy, Fiction, Humor, Ireland, Middle Grade, Mystery, Supernatural, Time Travel, Urban Fantasy, Young Adult"
Specter of the Past,Timothy Zahn,,4.0,Fantasy,Short Series,"Star Wars, *completed, Space Opera","Adventure, Aliens, Fantasy, Fiction, Science, Space Opera, Star Wars"
The Last Command,Timothy Zahn,,5.0,Fantasy,Short Series,"Star Wars, *completed, Space Opera","Adventure, Aliens, Fantasy, Fiction, Military & War, Science, Space Opera, Star Wars, Young Adult"
Path of Destruction,Drew Karpyshyn,,5.0,Fantasy,Short Series,"Star Wars, *completed, Space Opera","Adventure, Fantasy, Fiction, Science, Space Opera, Star Wars"
Raven's Gate,Anthony Horowitz,,,Fantasy,Short Series,"Urban Fantasy, Supernatural Horror, *completed","Adventure, British, Fantasy, Fiction, Horror, Middle Grade, Mystery, Mythology, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Young Adult"
Eagle Strike,Anthony Horowitz,,,Crime Fiction,Short Series,"*completed, Espionage","Adventure, Contemporary, Crime, Espionage, Fantasy, Fiction, Middle Grade, Mystery, Science Fiction, Thriller, Young Adult"
The Sorceress,Michael Scott,,4.0,Fantasy,Short Series,"Urban Fantasy, *completed","Adventure, Fantasy, Fiction, Middle Grade, Mystery, Mythology, Supernatural, Urban Fantasy, Young Adult"
Bad Astronomy,Philip Plait,,4.0,Nonfiction,Standalone,"Humor, History, Indie, Nonfiction, Aerospace","Science, Nonfiction, Aerospace, Philosophy, History, Humor, Science Fiction, Writing"
Heir to the Empire,Timothy Zahn,,5.0,Fantasy,Short Series,"Star Wars, *completed, Space Opera","Adventure, Aliens, Fantasy, Fiction, Military & War, Science, Space Opera, Star Wars, Young Adult"
The Quillan Games,D. J. Machale,,5.0,Fantasy,Long Series,"Urban Fantasy, Time Travel, *completed","Adventure, Alternate History, Dystopian, Fantasy, Fiction, Middle Grade, Military & War, Mystery, Supernatural, Time Travel, Urban Fantasy, Young Adult"
An Astronaut's Guide to Life on Earth,Chris Hadfield,,4.0,Nonfiction,Standalone,"History, Competence, *completed, Biography, Nonfiction, Aerospace","Adventure, Aerospace, Biography, Competence, Economics & Business, History, Inspirational, Nonfiction, Philosophy, Psychology, Science, Self Help, Travel"
The Titan's Curse,Rick Riordan,,5.0,Fantasy,Short Series,"Urban Fantasy, Humor, *completed","Fantasy, Fiction, Humor, Middle Grade, Mythology, Urban Fantasy, Young Adult"
Harry Potter and the Sorcerer's Stone,J. K. Rowling,,,Fantasy,Long Series,"Urban Fantasy, Dragons, *completed","Adventure, Dragons, Fantasy, Fiction, Middle Grade, Mystery, Supernatural, Urban Fantasy, Young Adult"
Point Blank,Anthony Horowitz,,,Crime Fiction,Short Series,"*completed, Espionage","Adventure, Contemporary, Crime, Espionage, Fantasy, Fiction, Middle Grade, Mystery, Science Fiction, Thriller, Young Adult"
The Reality Bug,D. J. Machale,,5.0,Fantasy,Long Series,"Urban Fantasy, Time Travel, *completed","Adventure, Alternate History, Dystopian, Fantasy, Fiction, Middle Grade, Military & War, Mystery, Supernatural, Time Travel, Urban Fantasy, Young Adult"
The Hitchhiker’s Guide to the Galaxy,Douglas Adams,,,Science Fiction,Short Series,"Humor, *completed, Space Opera, Classics","Adventure, Classics, Fiction, Humor, Science, Science Fiction, Space Opera"
Scorpia Rising,Anthony Horowitz,,,Crime Fiction,Short Series,"*completed, Espionage","Adventure, Contemporary, Crime, Espionage, Fantasy, Fiction, Middle Grade, Mystery, Science Fiction, Thriller, Young Adult"
The Emperor of Nihon-Ja,John Flanagan,,,Fantasy,Short Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Medieval, Middle Grade, Military & War, Mystery, Young Adult"
The Arctic Incident,Eoin Colfer,,,Fantasy,Short Series,"Urban Fantasy, Humor, *completed","Adventure, Contemporary, Crime, Fae, Fantasy, Fiction, Humor, Ireland, Middle Grade, Mystery, Supernatural, Urban Fantasy, Young Adult"
The Eternity Code,Eoin Colfer,,,Fantasy,Short Series,"Urban Fantasy, Humor, *completed","Adventure, Contemporary, Crime, Fae, Fantasy, Fiction, Humor, Ireland, Middle Grade, Mystery, Supernatural, Urban Fantasy, Young Adult"
The Ruins of Gorlan,John Flanagan,,,Fantasy,Short Series,"Epic Fantasy, *completed","Adventure, Coming of Age, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Medieval, Middle Grade, Military & War, Mystery, Young Adult"
2001,Arthur C. Clarke,,4.0,Fantasy,Short Series,"Classics, *completed, Space Opera","Adventure, Aliens, Classics, Fantasy, Fiction, Science, Space Opera"
The Lost Hero,Rick Riordan,,5.0,Fantasy,Short Series,"Urban Fantasy, Dragons, *completed","Adventure, Contemporary, Dragons, Fantasy, Fiction, Greek, Middle Grade, Mystery, Mythology, Urban Fantasy, Young Adult"
The Soldiers of Halla,D. J. Machale,,5.0,Fantasy,Long Series,"Urban Fantasy, Time Travel, *completed","Adventure, Alternate History, Dystopian, Fantasy, Fiction, Middle Grade, Military & War, Mystery, Supernatural, Time Travel, Urban Fantasy, Young Adult"
The Alchemyst,Michael Scott,,5.0,Fantasy,Short Series,"Urban Fantasy, *completed","Adventure, Fantasy, Fiction, Middle Grade, Mystery, Mythology, Supernatural, Urban Fantasy, Young Adult"
Season of Storms,Andrzej Sapkowski,,4.0,Fantasy,Short Series,"Translated, Dragons, *completed, Epic Fantasy, Monster Hunting","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Monster Hunting, Translated"
Summer Knight,Jim Butcher,,4.0,Fantasy,Long Series,"Urban Fantasy, Humor, Monster Hunting, *completed, Noir, Detective, Epic Fantasy, Dragons, Supernatural Horror","Adventure, Contemporary, Crime, Detective, Dragons, Epic, Fae, Fantasy, Fiction, Horror, Humor, Military & War, Monster Hunting, Mystery, Mythology, Noir, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires"
Eragon,Christopher Paolini,,4.0,Fantasy,Long Series,"Dragons, *completed, Indie, Epic Fantasy","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Young Adult"
The Lost Symbol,Dan Brown,,4.0,Crime Fiction,Long Series,"Detective, *completed","Adventure, Contemporary, Crime, Detective, Fantasy, Fiction, Mystery, Religion, Science, Science Fiction, Thriller"
The Children of Húrin,J. R. R. Tolkien,,5.0,Fantasy,Standalone,"Epic Fantasy, Dragons, *completed","Adventure, Classics, Dragons, Epic, Fantasy, Fiction, High Fantasy, Mythology"
The Magician,Michael Scott,,4.0,Fantasy,Short Series,"Urban Fantasy, *completed","Adventure, Fantasy, Fiction, Middle Grade, Mystery, Mythology, Supernatural, Urban Fantasy, Young Adult"
Snakehead,Anthony Horowitz,,3.0,Crime Fiction,Short Series,"*completed, Espionage","Adventure, Contemporary, Crime, Espionage, Fantasy, Fiction, Middle Grade, Mystery, Science Fiction, Thriller, Young Adult"
The Burning Bridge,John Flanagan,,,Fantasy,Short Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Medieval, Middle Grade, Military & War, Mystery, Young Adult"
The Lost World,Michael Crichton,,5.0,Science Fiction,Short Series,"Techno-Thriller, *completed, Sci-Fi Horror","Techno-Thriller, Adventure, Fantasy, Horror, Science Fiction, Sci-Fi Horror, Thriller"
The Dark Tower,Stephen King,,,Fantasy,Long Series,"Urban Fantasy, Western, *completed, Epic Fantasy, Post-Apocalyptic","Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Mystery, Post-Apocalyptic, Thriller, Urban Fantasy"
Harry Potter and the Deathly Hallows,J. K. Rowling,,5.0,Fantasy,Long Series,"Urban Fantasy, Dragons, *completed","Adventure, Coming of Age, Dragons, Fantasy, Fiction, Mystery, Supernatural, Urban Fantasy, Young Adult"
Black Water,D. J. Machale,,4.0,Fantasy,Long Series,"Urban Fantasy, Time Travel, *completed","Adventure, Alternate History, Dystopian, Fantasy, Fiction, Middle Grade, Military & War, Mystery, Supernatural, Time Travel, Urban Fantasy, Young Adult"
Evil Star,Anthony Horowitz,,,Fantasy,Short Series,"Urban Fantasy, Supernatural Horror, *completed","Adventure, Contemporary, Dystopian, Fantasy, Fiction, Horror, Middle Grade, Mystery, Mythology, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Young Adult"
Inheritance,Christopher Paolini,,3.0,Fantasy,Long Series,"Dragons, *completed, Indie, Epic Fantasy","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Young Adult"
Crocodile Tears,Anthony Horowitz,,,Crime Fiction,Short Series,"*completed, Espionage","Adventure, Contemporary, Crime, Espionage, Fiction, Middle Grade, Mystery, Science Fiction, Thriller, Young Adult"
The Siege of Macindaw,John Flanagan,,,Fantasy,Short Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Medieval, Middle Grade, Military & War, Mystery, Young Adult"
The Time Machine and the Invisible Man,H. G. Wells,,4.0,Science Fiction,Standalone,"Time Travel, *completed","Adventure, British, Contemporary, Dystopian, Fantasy, Fiction, Horror, Literary, Mystery, Science, Steampunk, Time Travel, Travel"
Harry Potter and the Chamber of Secrets,J. K. Rowling,,5.0,Fantasy,Long Series,"Urban Fantasy, Dragons, *completed","Adventure, Dragons, Fantasy, Fiction, Middle Grade, Mystery, Supernatural, Urban Fantasy, Young Adult"
Eldest,Christopher Paolini,,5.0,Fantasy,Long Series,"Dragons, *completed, Indie, Epic Fantasy","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Young Adult"
Rule of Two,Drew Karpyshyn,,4.0,Fantasy,Short Series,"Star Wars, *completed, Space Opera","Adventure, Fantasy, Fiction, Science, Space Opera, Star Wars"
Ark Angel,Anthony Horowitz,,,Crime Fiction,Short Series,"*completed, Espionage","Adventure, Contemporary, Crime, Espionage, Fantasy, Fiction, Middle Grade, Mystery, Science Fiction, Thriller, Young Adult"
Raven Rise,D. J. Machale,,5.0,Fantasy,Long Series,"Urban Fantasy, Time Travel, *completed","Adventure, Alternate History, Dystopian, Fantasy, Fiction, Middle Grade, Military & War, Mystery, Supernatural, Time Travel, Urban Fantasy, Young Adult"
Catching Fire,Suzanne Collins,,4.0,Fantasy,Short Series,"Romance, Dystopian, *completed, Survival","Adventure, Dystopian, Fantasy, Fiction, Military & War, Post-Apocalyptic, Romance, Survival, Thriller, Young Adult"
The Two Towers,J. R. R. Tolkien,,5.0,Fantasy,Short Series,"Classics, Epic Fantasy, *completed","Adventure, Classics, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
A Game of Thrones,George R. R. Martin,,5.0,Fantasy,Long Series,"Epic Fantasy, Dragons, *completed","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Medieval, Military & War, Young Adult"
The Merchant of Death,D. J. Machale,,4.0,Fantasy,Long Series,"Urban Fantasy, *completed","Adventure, Alternate History, Fantasy, Fiction, Middle Grade, Military & War, Mystery, Urban Fantasy, Young Adult"
The Son of Neptune,Rick Riordan,,5.0,Fantasy,Long Series,"Urban Fantasy, Dragons, *completed","Adventure, Contemporary, Dragons, Fantasy, Fiction, Greek, Middle Grade, Mystery, Mythology, Urban Fantasy, Young Adult"
A Storm of Swords,George R. R. Martin,,5.0,Fantasy,Long Series,"Epic Fantasy, Dragons, *completed","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Medieval, Military & War, Young Adult"
Exit Strategy,Martha Wells,,4.5,Science Fiction,Short Series,"Humor, *completed, Short Stories, Space Opera, Cyberpunk","Adventure, Cyberpunk, Fantasy, Fiction, Humor, LGBTQ, Mystery, Robots, Science Fiction, Short Stories, Space Opera, Thriller"
The Return of the King,J. R. R. Tolkien,,5.0,Fantasy,Short Series,"Classics, Epic Fantasy, *completed","Adventure, Classics, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
The Dark Tower,Stephen King,,,Fantasy,Long Series,"Urban Fantasy, Western, *completed, Epic Fantasy, Post-Apocalyptic","Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Mystery, Post-Apocalyptic, Thriller, Urban Fantasy"
The Kings of Clonmel,John Flanagan,,,Fantasy,Short Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Medieval, Middle Grade, Military & War, Mystery, Young Adult"
The Opal Deception,Eoin Colfer,,,Fantasy,Short Series,"Urban Fantasy, Humor, *completed","Adventure, Contemporary, Fae, Fantasy, Fiction, Humor, Ireland, Middle Grade, Mystery, Supernatural, Urban Fantasy, Young Adult"
The Alloy of Law,Brandon Sanderson,,3.75,Fantasy,Long Series,"Western, Epic Fantasy, *completed","Adventure, Crime, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Mystery, Steampunk, Urban Fantasy, Western, Young Adult"
The Da Vinci Code,Dan Brown,,3.0,Crime Fiction,Long Series,"Detective, *completed","Adventure, Art, Contemporary, Crime, Detective, Europe, Fantasy, Fiction, Mystery, Religion, Science, Science Fiction, Thriller"
Flowers for Algernon,Daniel Keyes,,5.0,Fantasy,Standalone,"Classics, *completed, Short Stories","Classics, Contemporary, Epistolary, Fantasy, Fiction, Literary, Psychology, Short Stories, Young Adult"
The Fellowship of the Ring,J. R. R. Tolkien,,5.0,Fantasy,Short Series,"Classics, Epic Fantasy, *completed","Adventure, Classics, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
The Sorcerer of the North,John Flanagan,,,Fantasy,Short Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Medieval, Middle Grade, Military & War, Mystery, Young Adult"
The Icebound Land,John Flanagan,,,Fantasy,Short Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Medieval, Middle Grade, Military & War, Mystery, Young Adult"
Every Tool's a Hammer,Adam Savage,,5.0,Nonfiction,Standalone,"Competence, *completed, Biography, Nonfiction","Nonfiction, Biography, Science, Self Help, Art, Philosophy, Economics & Business, Competence"
The Battle of the Labyrinth,Rick Riordan,,,Fantasy,Short Series,"Urban Fantasy, Humor, *completed","Adventure, Contemporary, Fantasy, Fiction, Greek, Humor, Middle Grade, Mythology, Urban Fantasy, Young Adult"
Necropolis,Anthony Horowitz,,,Fantasy,Short Series,"Urban Fantasy, Supernatural Horror, *completed","Adventure, Christianity, Contemporary, Dystopian, Fantasy, Fiction, Horror, Middle Grade, Mystery, Mythology, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Young Adult"
Lord of the Flies,William Golding,,3.0,Literary Fiction,Standalone,"Survival, Classics, *completed","Adventure, Classics, Coming of Age, Dystopian, Fantasy, Fiction, Historical Fiction, Horror, Literary, Science Fiction, Survival, Thriller, Young Adult"
Skeleton Key,Anthony Horowitz,,,Crime Fiction,Short Series,"*completed, Espionage","Adventure, Contemporary, Crime, Espionage, Fantasy, Fiction, Middle Grade, Mystery, Science Fiction, Thriller, Young Adult"
Vision of the Future,Timothy Zahn,,5.0,Fantasy,Short Series,"Romance, *completed, Space Opera, Star Wars","Adventure, Aliens, Fantasy, Fiction, Romance, Science, Space Opera, Star Wars"
The Mark of Athena,Rick Riordan,,5.0,Fantasy,Long Series,"Urban Fantasy, Dragons, *completed","Adventure, Contemporary, Dragons, Fantasy, Fiction, Greek, Middle Grade, Mystery, Mythology, Urban Fantasy, Young Adult"
The Battle for Skandia,John Flanagan,,,Fantasy,Short Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Medieval, Middle Grade, Military & War, Mystery, Young Adult"
Nightrise,Anthony Horowitz,,,Fantasy,Short Series,"Urban Fantasy, *completed, Time Travel, Supernatural Horror","Adventure, Contemporary, Dystopian, Fantasy, Fiction, Horror, Middle Grade, Mystery, Mythology, Supernatural, Supernatural Horror, Thriller, Time Travel, Urban Fantasy, Young Adult"
Angels & Demons,Dan Brown,,4.0,Crime Fiction,Long Series,"Detective, *completed","Adventure, Contemporary, Crime, Detective, Europe, Fantasy, Fiction, Mystery, Religion, Science, Science Fiction, Thriller"
The Rivers of Zadaa,D. J. Machale,,4.0,Fantasy,Long Series,"Urban Fantasy, *completed","Adventure, Alternate History, Fantasy, Fiction, Middle Grade, Military & War, Mystery, Urban Fantasy, Young Adult"
Dark Force Rising,Timothy Zahn,,5.0,Fantasy,Short Series,"Star Wars, *completed, Space Opera","Adventure, Aliens, Fantasy, Fiction, Military & War, Science, Space Opera, Star Wars, Young Adult"
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,,5.0,Fantasy,Long Series,"Urban Fantasy, *completed, Time Travel, Dragons","Adventure, Dragons, Fantasy, Fiction, Middle Grade, Mystery, Supernatural, Time Travel, Urban Fantasy, Young Adult"
The Lost City of Faar,D. J. Machale,,5.0,Fantasy,Long Series,"Urban Fantasy, Time Travel, *completed","Adventure, Alternate History, Dystopian, Fantasy, Fiction, Middle Grade, Military & War, Mystery, Supernatural, Time Travel, Urban Fantasy, Young Adult"
The Lightning Thief,Rick Riordan,,5.0,Fantasy,Short Series,"Urban Fantasy, Humor, *completed","Adventure, Contemporary, Fantasy, Fiction, Greek, Humor, Middle Grade, Mythology, Supernatural, Urban Fantasy, Young Adult"
The Last Olympian,Rick Riordan,,5.0,Fantasy,Short Series,"Urban Fantasy, Humor, *completed","Adventure, Contemporary, Fantasy, Fiction, Greek, Humor, Middle Grade, Mythology, Urban Fantasy, Young Adult"
Norse Mythology,Neil Gaiman,,5.0,Fantasy,Standalone,"*completed, Short Stories","Adventure, Fantasy, Fiction, Mythology, Norse, Religion, Short Stories, Young Adult"
Harry Potter and the Order of the Phoenix,J. K. Rowling,,5.0,Fantasy,Long Series,"Urban Fantasy, Dragons, *completed","Adventure, Coming of Age, Dragons, Fantasy, Fiction, Mystery, Supernatural, Urban Fantasy, Young Adult"
Scorpia Rising,Anthony Horowitz,,,Crime Fiction,Short Series,"*completed, Espionage","Adventure, Contemporary, Crime, Espionage, Fantasy, Fiction, Middle Grade, Mystery, Science Fiction, Thriller, Young Adult"
Artemis Fowl,Eoin Colfer,,4.0,Fantasy,Short Series,"Urban Fantasy, Humor, *completed","Adventure, Contemporary, Crime, Fae, Fantasy, Fiction, Humor, Ireland, Middle Grade, Mystery, Supernatural, Urban Fantasy, Young Adult"
Stormbreaker,Anthony Horowitz,,,Crime Fiction,Short Series,"*completed, Espionage","Adventure, British, Contemporary, Crime, Espionage, Fantasy, Fiction, Middle Grade, Mystery, Science Fiction, Thriller, Young Adult"
Storm Front,Jim Butcher,,4.0,Fantasy,Long Series,"Urban Fantasy, Humor, Monster Hunting, *completed, Noir, Detective, Epic Fantasy, Dragons, Supernatural Horror","Adventure, Christianity, Contemporary, Crime, Detective, Dragons, Epic, Fantasy, Fiction, Horror, Humor, Military & War, Monster Hunting, Mystery, Mythology, Noir, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires"
Brisingr,Christopher Paolini,,5.0,Fantasy,Long Series,"Dragons, *completed, Indie, Epic Fantasy","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Young Adult"
Harry Potter and the Half-Blood Prince,J. K. Rowling,,5.0,Fantasy,Long Series,"Urban Fantasy, Dragons, *completed","Adventure, Coming of Age, Dragons, Fantasy, Fiction, Mystery, Supernatural, Urban Fantasy, Young Adult"
The Never War,D. J. Machale,,4.0,Fantasy,Long Series,"Urban Fantasy, Time Travel, *completed","Adventure, Alternate History, Dystopian, Fantasy, Fiction, Middle Grade, Military & War, Mystery, Supernatural, Time Travel, Urban Fantasy, Young Adult"
The Sea of Monsters,Rick Riordan,,5.0,Fantasy,Short Series,"Urban Fantasy, Humor, *completed","Adventure, Contemporary, Fantasy, Fiction, Greek, Humor, Middle Grade, Mythology, Urban Fantasy, Young Adult"
